Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Genero,Pais,Provincia,Canton
ASALTO,ARREBATO,02/26/15,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA 
ASALTO,ARREBATO,03/03/15,00:00:00 - 02:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,ALAJUELA,LOS CHILES 
ASALTO,ARREBATO,03/05/15,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,LIMON,LIMON 
ASALTO,ARREBATO,03/06/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,ARREBATO,03/10/15,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,DESAMPARADOS 
ASALTO,ARREBATO,03/07/15,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,LIBERIA 
ASALTO,ARREBATO,03/11/15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,CARTAGO,CARTAGO 
ASALTO,ARREBATO,03/10/15,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,ARREBATO,01/08/15,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA 
ASALTO,ARREBATO,01/10/15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA 
ASALTO,ARREBATO,01/08/15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,MONTES DE OCA 
ASALTO,ARREBATO,01/05/15,15:00:00 - 17:59:59,PERSONA,MENOR DE EDAD [PERSONA],Menor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS 
ASALTO,ARREBATO,01/05/15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,MUJER,COSTA RICA,HEREDIA,HEREDIA 
ASALTO,ARREBATO,01/12/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,PEREZ ZELEDON 
ASALTO,ARREBATO,01/19/15,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,CARTAGO,CARTAGO 
ASALTO,ARREBATO,01/27/15,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,ARREBATO,02/03/15,21:00:00 - 23:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,CURRIDABAT 
ASALTO,ARREBATO,02/06/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,CANADA,GUANACASTE,LIBERIA 
ASALTO,ARREBATO,02/08/15,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,Desconocido,PUNTARENAS,COTO BRUS 
ASALTO,ARREBATO,02/16/15,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,LIMON,LIMON 
ASALTO,ARREBATO,02/18/15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,MONTES DE OCA 
ASALTO,ARREBATO,02/16/15,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,CARTAGO,LA UNION 
ASALTO,ARREBATO,02/23/15,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,NICARAGUA,ALAJUELA,ALAJUELA 
ASALTO,ARREBATO,03/02/15,18:00:00 - 20:59:59,OTROS,NO DEFINIDO [OTROS],Mayor de edad,MUJER,NICARAGUA,PUNTARENAS,PUNTARENAS 
